Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number,Random Number
S Lander St / Beacon Av S,MVI - Motor Vehicle Incident,6/30/19 15:23,47.579471,-122.312377,POINT (-122.312377 47.579471),F190068583,35
1303 Ne Boat St,Aid Response Yellow,6/30/19 15:25,47.651729,-122.314304,POINT (-122.314304 47.651729),F190068584,36
W Government Way / 33rd Av W,Illegal Burn,5/15/19 23:32,47.659939,-122.39951,POINT (-122.39951 47.659939),F190049598,37
Ne 45th St / 19th Av Ne,Aid Response,5/15/19 23:32,47.661258,-122.307245,POINT (-122.307245 47.661258),F190049599,38
1404 3rd Av,Aid Response,5/9/19 05:02,47.608786,-122.336913,POINT (-122.336913 47.608786),F190046825,39
Seneca St / 1st Av,Aid Response,5/23/19 11:27,47.606122,-122.337544,POINT (-122.337544 47.606122),F190052298,40
507 26TH AV,Fire in Single Family Res,5/30/19 11:54,47.606229,-122.298896,POINT (-122.298896 47.606229),F190056051,41
1816 Bellevue Av,Aid Response,5/30/19 11:54,47.617855,-122.326761,POINT (-122.326761 47.617855),F190056052,42
1215 Thomas St,Aid Response,5/23/19 11:32,47.620815,-122.332585,POINT (-122.332585 47.620815),F190052299,43
11540 Pinehurst Way Ne,Aid Response,5/23/19 11:35,47.712546,-122.314732,POINT (-122.314732 47.712546),F190052300,44
2215 1st Av,Trans to AMR,5/30/19 12:06,47.612716,-122.345399,POINT (-122.345399 47.612716),F190056054,45
6701 Earl Av Nw,Trans to AMR,5/23/19 11:35,47.677654,-122.391866,POINT (-122.391866 47.677654),F190052301,46
206 3rd Av S,Medic Response,5/23/19 11:37,47.600825,-122.330272,POINT (-122.330272 47.600825),F190052303,47
4108 W Bertona St,1RED 1 Unit,5/23/19 11:41,47.650449,-122.409642,POINT (-122.409642 47.650449),F190052304,48
2012 Thorndyke Av W,Trans to AMR,5/23/19 11:42,47.63707,-122.38896,POINT (-122.38896 47.63707),F190052305,49
1803 S Lane St,Aid Response,5/30/19 12:28,47.596646,-122.308936,POINT (-122.308936 47.596646),F190056064,50
2720 Ne 144th St,4RED - 2 + 1 + 1,5/30/19 12:28,47.733066,-122.299052,POINT (-122.299052 47.733066),F190056063,51
2215 1st Av,Aid Response,5/30/19 12:32,47.612716,-122.345399,POINT (-122.345399 47.612716),F190056065,52
700 Fairview Av N,Auto Fire Alarm,5/23/19 11:46,47.625121,-122.334336,POINT (-122.334336 47.625121),F190052307,53
10330 Meridian Av N,Medic Response,5/23/19 11:54,47.703486,-122.333907,POINT (-122.333907 47.703486),F190052313,54
420 4th Av,Aid Response,5/23/19 11:56,47.601986,-122.32914,POINT (-122.32914 47.601986),F190052315,55
1000 4th Av S,Aid Response,5/23/19 11:57,47.594333,-122.329049,POINT (-122.329049 47.594333),F190052318,56
1000 4th Av S,Aid Response,5/23/19 11:58,47.594333,-122.329049,POINT (-122.329049 47.594333),F190052316,57
3039 Nw 71st St,Aid Response,5/23/19 11:58,47.68023,-122.396216,POINT (-122.396216 47.68023),F190052317,58
1925 1st Av,Aid Response,5/2/19 13:21,47.61048,-122.341617,POINT (-122.341617 47.61048),F190044181,59
12300 33rd Av Ne,Medic Response,5/2/19 13:21,47.717343,-122.292781,POINT (-122.292781 47.717343),F190044182,60
Main Kc Airport Acc Rd,EVENT - Special Event,5/9/19 04:44,47.537341,-122.302217,POINT (-122.302217 47.537341),V190046821,61
3122 W Emerson St,Aid Response,5/2/19 13:26,47.654064,-122.397204,POINT (-122.397204 47.654064),F190044183,62
4332 31st Av W,Aid Response,5/2/19 13:28,47.658865,-122.397033,POINT (-122.397033 47.658865),F190044184,63
8th Av S / S Weller St,Aid Response,5/2/19 13:33,47.597509,-122.322452,POINT (-122.322452 47.597509),F190044185,64
1101 Madison St,Medic Response- 7 per Rule,5/2/19 13:53,47.609343,-122.325128,POINT (-122.325128 47.609343),F190044186,65
11 W Aloha St,Aid Response,6/30/19 15:37,47.627192,-122.356823,POINT (-122.356823 47.627192),F190068586,66
10443 34th Av Sw,Medic Response,5/2/19 13:58,47.509597,-122.374625,POINT (-122.374625 47.509597),F190044189,67
2601 Elliott Av,Auto Fire Alarm,5/2/19 13:58,47.61392,-122.351402,POINT (-122.351402 47.61392),F190044188,68
11501 15th Av Ne,Aid Response,6/30/19 15:39,47.712167,-122.312433,POINT (-122.312433 47.712167),F190068587,69
5th Av / Union St,Aid Response,6/6/19 09:44,47.609685,-122.334666,POINT (-122.334666 47.609685),F190058767,70
13000 Lake City Way Ne,Aid Response,6/6/19 09:51,47.722899,-122.293194,POINT (-122.293194 47.722899),F190058769,71
120 Broadway,Rescue Elevator,5/15/19 23:49,47.602255,-122.320739,POINT (-122.320739 47.602255),F190049600,72
600 4th Av,Aid Response,5/15/19 23:53,47.603233,-122.330297,POINT (-122.330297 47.603233),F190049601,73
116 Fairview Av N,Aid Response,6/6/19 07:38,47.618693,-122.334256,POINT (-122.334256 47.618693),F190058727,74
901 8th Av,Natural Gas Odor,6/6/19 07:52,47.607231,-122.327818,POINT (-122.327818 47.607231),F190058731,75
1421 Minor Av,Aid Response,6/6/19 07:57,47.613146,-122.327096,POINT (-122.327096 47.613146),F190058732,76
S Massachusetts St / 8th Av S,Aid Response,4/26/19 06:24,47.588226,-122.323498,POINT (-122.323498 47.588226),F190041666,77
720 8th Av S,Medic Response,5/2/19 14:01,47.596499,-122.322456,POINT (-122.322456 47.596499),F190044190,78
825 Eastlake Av E,Medic Response,5/2/19 14:10,47.626215,-122.329199,POINT (-122.329199 47.626215),F190044192,79
450 3rd Av,Aid Response,5/2/19 14:14,47.601886,-122.330511,POINT (-122.330511 47.601886),F190044194,80
S Main St / 12th Av S,Aid Response,5/23/19 16:58,47.600015,-122.31723,POINT (-122.31723 47.600015),F190052438,81
1626 California Av Sw,Automatic Medical Alarm,5/23/19 17:03,47.588983,-122.386243,POINT (-122.386243 47.588983),F190052440,82
660 S Othello St,Aid Response,5/23/19 17:04,47.537227,-122.324851,POINT (-122.324851 47.537227),F190052441,83
1000 S MYRTLE ST,Aid Response,5/23/19 17:16,47.539432,-122.320383,POINT (-122.320383 47.539432),F190052442,84
1505 Arboretum Pl E,Aid Response,4/26/19 01:07,47.632285,-122.29847,POINT (-122.29847 47.632285),F190041627,85
6507 12th Av Nw,Furnace Problem,6/6/19 08:06,47.676018,-122.371953,POINT (-122.371953 47.676018),F190058733,86
1607 9th Av W,Aid Response,6/6/19 08:08,47.633564,-122.369111,POINT (-122.369111 47.633564),F190058734,87
526 S Monroe St,Aid Response,6/6/19 08:08,47.531278,-122.327828,POINT (-122.327828 47.531278),F190058735,88
Ne 130th St / 3rd Av Ne,MVI - Motor Vehicle Incident,5/16/19 05:11,47.723143,-122.326232,POINT (-122.326232 47.723143),F190049642,89
Ne 130th St / 3rd Av Ne,MVI - Motor Vehicle Incident,5/16/19 05:12,47.723143,-122.326232,POINT (-122.326232 47.723143),F190049641,90
6565 5th Av Ne,Trans to AMR,5/16/19 05:41,47.677475,-122.324588,POINT (-122.324588 47.677475),F190049647,91
4628 S Holly St,Aid Response,5/16/19 00:01,47.542466,-122.275011,POINT (-122.275011 47.542466),F190049603,92
2303 14th Av S,Medic Response- 7 per Rule,5/16/19 00:01,47.58295,-122.314699,POINT (-122.314699 47.58295),F190049604,93
Nb I5 At Lakeview,MVI Freeway,6/30/19 15:40,47.629452,-122.326694,POINT (-122.326694 47.629452),F190068588,94
7758 14th Av Nw,Auto Fire Alarm,6/30/19 15:42,47.685418,-122.374094,POINT (-122.374094 47.685418),F190068589,95
Nb I5 At Yesler,MVI Freeway,6/30/19 15:45,47.602308,-122.325287,POINT (-122.325287 47.602308),F190068592,96
130 S Kenyon St,Auto Fire Alarm,6/30/19 15:45,47.532034,-122.333373,POINT (-122.333373 47.532034),F190068591,97
11301 3rd Av Ne,Aid Response,6/20/19 11:30,47.71049,-122.326004,POINT (-122.326004 47.71049),F190064471,98
9551 7th Av Nw,Aid Response Yellow,6/20/19 11:31,47.698322,-122.364705,POINT (-122.364705 47.698322),F190064472,99
12702 15th Av Ne,Aid Response Yellow,6/20/19 11:34,47.720887,-122.312672,POINT (-122.312672 47.720887),F190064474,100
3512 Albion Pl N,Trans to AMR,4/26/19 01:29,47.649847,-122.344754,POINT (-122.344754 47.649847),F190041633,101
4106 12th Av Ne,Aid Response,6/30/19 15:54,47.656938,-122.315557,POINT (-122.315557 47.656938),F190068593,102
26th Av Sw / Sw Juneau St,Brush Fire,6/30/19 15:57,47.550123,-122.365579,POINT (-122.365579 47.550123),F190068595,103
1620 4TH AV S,Aid Response,6/30/19 15:58,47.588693,-122.329048,POINT (-122.329048 47.588693),F190068597,104
E Pike St / Summit Av,Aid Response,6/30/19 16:06,47.614089,-122.325514,POINT (-122.325514 47.614089),F190068599,105
1620 4th Av,Aid Response,6/30/19 16:11,47.611303,-122.33768,POINT (-122.33768 47.611303),F190068601,106
29th Av E / E Harrison St,Aid Response,6/30/19 16:26,47.622506,-122.294828,POINT (-122.294828 47.622506),F190068610,107
5444 Delridge Way Sw,Auto Fire Alarm,6/30/19 16:35,47.553321,-122.362969,POINT (-122.362969 47.553321),F190068611,108
2738 Ne 97th St,Aid Response,5/2/19 15:03,47.699329,-122.29748,POINT (-122.29748 47.699329),F190044206,109
Denny Way / Borealis Av,Aid Response,5/2/19 15:10,47.618554,-122.343368,POINT (-122.343368 47.618554),F190044209,110
203 6TH AV N,Rescue Elevator,5/2/19 15:13,47.619754,-122.345007,POINT (-122.345007 47.619754),F190044211,111
3rd Av Nw / Nw 112th St,MVI - Motor Vehicle Incident,5/2/19 15:14,47.710415,-122.36084,POINT (-122.36084 47.710415),F190044210,112
7440 Rainier Av S,Trans to AMR,4/26/19 01:08,47.534969,-122.269982,POINT (-122.269982 47.534969),F190041628,113
411 University St,Aid Response Yellow,6/20/19 11:21,47.60828,-122.334742,POINT (-122.334742 47.60828),F190064464,114
932 N 90th St,Aid Response,6/20/19 11:23,47.694193,-122.346812,POINT (-122.346812 47.694193),F190064466,115
1802 17th Av,Aid Response,6/20/19 11:23,47.61762,-122.310139,POINT (-122.310139 47.61762),F190064465,116
4530 46th Av Ne,Auto Fire Alarm,6/20/19 11:24,47.661555,-122.278344,POINT (-122.278344 47.661555),F190064467,117
16TH AV S / S JACKSON ST,Aid Response,4/26/19 01:14,47.599225,-122.311577,POINT (-122.311577 47.599225),F190041629,118
3rd Av / Marion St,Aid Response,6/20/19 11:29,47.604911,-122.333366,POINT (-122.333366 47.604911),F190064470,119
2027 Westlake Av,Aid Response,4/26/19 01:16,47.615375,-122.337842,POINT (-122.337842 47.615375),F190041630,120
4701 California Av Sw,Aid Response,5/30/19 12:40,47.561088,-122.386779,POINT (-122.386779 47.561088),F190056066,121
5800 PHINNEY AV N,Trans to AMR,6/30/19 16:37,47.671151,-122.35439,POINT (-122.35439 47.671151),F190068614,122
2233 E Miller St,Aid Response,6/30/19 16:39,47.641724,-122.3035,POINT (-122.3035 47.641724),F190068613,123
13TH AV / E PIKE ST,Aid Response,6/30/19 16:40,47.614113,-122.31553,POINT (-122.31553 47.614113),F190068615,124
21st Av Ne / Ne 47th St,Aid Response,5/16/19 00:14,47.663075,-122.305462,POINT (-122.305462 47.663075),F190049605,125
6339 34th Av Sw,Trans to AMR,4/26/19 01:20,47.546215,-122.375056,POINT (-122.375056 47.546215),F190041631,126
1st Av / Blanchard St,Investigate Out Of Service,5/16/19 00:20,47.612606,-122.345213,POINT (-122.345213 47.612606),F190049609,127
5131 S Mead St,Automatic Medical Alarm,5/16/19 00:21,47.550387,-122.269072,POINT (-122.269072 47.550387),F190049608,128
1304 Bigelow Av N,Medic Response,5/16/19 00:22,47.631157,-122.349199,POINT (-122.349199 47.631157),F190049607,129
4737 26th Av Sw,Aid Response,5/9/19 05:13,47.560764,-122.365494,POINT (-122.365494 47.560764),F190046826,130
2300 Sw Webster St,Aid Response,4/26/19 01:34,47.535515,-122.36216,POINT (-122.36216 47.535515),F190041634,131
113 23rd Av S,Aid Response,5/30/19 12:43,47.601601,-122.302284,POINT (-122.302284 47.601601),F190056067,132
2709 3rd Av,Aid Response,6/6/19 10:14,47.617176,-122.348974,POINT (-122.348974 47.617176),F190058784,133
1200 University St,Aid Response,6/6/19 10:15,47.611943,-122.325987,POINT (-122.325987 47.611943),F190058785,134
Lenora St / Western Av,1RED 1 Unit,6/6/19 10:22,47.611173,-122.344772,POINT (-122.344772 47.611173),F190058788,135
1821 Boren Av,Medic Response,6/6/19 10:25,47.616329,-122.331683,POINT (-122.331683 47.616329),F190058790,136
9702 57th Av S,Aid Response,6/6/19 10:37,47.515178,-122.262035,POINT (-122.262035 47.515178),F190058792,137
12th Av S / S Main St,Illegal Burn,5/2/19 14:15,47.600015,-122.31723,POINT (-122.31723 47.600015),F190044195,138
6842 28th Av Ne,1RED 1 Unit,5/16/19 00:28,47.678106,-122.297394,POINT (-122.297394 47.678106),F190049610,139
505 Ne 70th St,Auto Fire Alarm,5/16/19 00:30,47.679478,-122.322726,POINT (-122.322726 47.679478),F190049611,140
13730 15th Av Ne,Aid Response,4/26/19 01:44,47.728658,-122.312678,POINT (-122.312678 47.728658),F190041635,141
255 S King St,Auto Fire Alarm,6/20/19 11:38,47.598287,-122.330894,POINT (-122.330894 47.598287),F190064476,142
1812 Sw Myrtle St,Medic Response,6/20/19 11:43,47.539131,-122.357346,POINT (-122.357346 47.539131),F190064477,143
312 2nd Av W,Aid Response,6/20/19 11:44,47.621082,-122.359348,POINT (-122.359348 47.621082),F190064478,144
111 Cedar St,Trans to AMR,5/16/19 01:11,47.615877,-122.35052,POINT (-122.35052 47.615877),F190049616,145
Madison St / Terry Av,Aid Response Yellow,6/20/19 11:59,47.608873,-122.32625,POINT (-122.32625 47.608873),F190064480,146
5033 37th Av S,Aid Response,6/20/19 12:07,47.556785,-122.286143,POINT (-122.286143 47.556785),F190064484,147
4925 Corson Av S,Aid Response,6/20/19 12:09,47.558264,-122.317964,POINT (-122.317964 47.558264),F190064485,148
2910 S Nevada St,Aid Response,6/6/19 10:47,47.564177,-122.296723,POINT (-122.296723 47.564177),F190058796,149
1050 James St,Rescue Lock In/Out,6/6/19 10:49,47.606255,-122.323074,POINT (-122.323074 47.606255),F190058797,150
400 Ne 45th St,Automatic Fire Alarm False,5/9/19 10:42,47.661339,-122.324036,POINT (-122.324036 47.661339),F190046896,151
1145 Broadway,Medic Response,5/9/19 10:59,47.611511,-122.32076,POINT (-122.32076 47.611511),F190046897,152
9200 2nd Av Sw,Aid Response,5/9/19 11:16,47.521244,-122.336301,POINT (-122.336301 47.521244),F190046901,153
1902 2nd Av,Aid Response,5/9/19 11:17,47.610972,-122.340465,POINT (-122.340465 47.610972),F190046902,154
Nb I5 To Eb I90,Brush Fire Freeway,5/9/19 05:17,47.587138,-122.320156,POINT (-122.320156 47.587138),F190046827,155
115 Broadway E,Aid Response,6/30/19 19:52,47.618907,-122.320857,POINT (-122.320857 47.618907),F190068681,156
811 Maynard Av S,Aid Response,6/30/19 19:54,47.595741,-122.325068,POINT (-122.325068 47.595741),F190068682,157
107 Cherry St,Auto Fire Alarm,6/30/19 20:13,47.602588,-122.334202,POINT (-122.334202 47.602588),F190068687,158
422 E PINE ST,Aid Response,6/30/19 21:01,47.615215,-122.326153,POINT (-122.326153 47.615215),F190068711,159
719 N 102nd St,Automatic Medical Alarm,6/30/19 21:08,47.702893,-122.349792,POINT (-122.349792 47.702893),F190068712,160
12311 32nd Av Ne,Aid Response,5/16/19 00:38,47.717461,-122.293978,POINT (-122.293978 47.717461),F190049612,161
9550 1st Av Ne,Aid Response,5/16/19 00:40,47.698088,-122.328459,POINT (-122.328459 47.698088),F190049613,162
915 Nw 45th St,Aid Response,5/16/19 00:44,47.661467,-122.368768,POINT (-122.368768 47.661467),F190049614,163
2101 N Northlake Way,Aid Response Yellow,5/2/19 14:38,47.646867,-122.333927,POINT (-122.333927 47.646867),F190044199,164
1828 Yale Av,Trans to AMR,6/20/19 12:13,47.617717,-122.330057,POINT (-122.330057 47.617717),F190064486,165
12740 30th Av Ne,Aid Response,6/20/19 12:13,47.721329,-122.296339,POINT (-122.296339 47.721329),F190064487,166
1st Av / Seneca St,Aid Response,6/30/19 16:41,47.606122,-122.337544,POINT (-122.337544 47.606122),F190068616,167
1700 23rd Av,Auto Fire Alarm,5/2/19 14:52,47.616491,-122.302623,POINT (-122.302623 47.616491),F190044202,168
909 Boren Av,Aid Response,6/30/19 16:42,47.608682,-122.32454,POINT (-122.32454 47.608682),F190068617,169
210 3rd Av S,Auto Fire Alarm,6/30/19 17:01,47.600791,-122.330275,POINT (-122.330275 47.600791),F190068619,170
4801 Beacon Av S,Aid Response,6/30/19 17:02,47.559608,-122.304656,POINT (-122.304656 47.559608),F190068620,171
1431 Minor Av,Aid Response,6/30/19 17:04,47.613247,-122.327187,POINT (-122.327187 47.613247),F190068623,172
7th Av / Columbia St,Aid Response,4/26/19 02:04,47.606053,-122.328277,POINT (-122.328277 47.606053),F190041638,173
Aurora Av N / N 85th St,Aid Response Yellow,5/9/19 05:27,47.690563,-122.344522,POINT (-122.344522 47.690563),F190046830,174
401 Broadway,Aid Response,5/23/19 12:00,47.605225,-122.32075,POINT (-122.32075 47.605225),F190052319,175
3212 Claremont Av S,Hang-Up- Aid,5/23/19 12:00,47.574211,-122.296529,POINT (-122.296529 47.574211),F190052320,176
750 Republican St,Aid Response,5/23/19 12:13,47.623224,-122.342361,POINT (-122.342361 47.623224),F190052322,177
Olive Way / 4th Av,Aid Response,5/23/19 12:18,47.612182,-122.338543,POINT (-122.338543 47.612182),F190052323,178
810 Dexter Av N,AFA4 - Auto Alarm 2 + 1 + 1,5/16/19 01:55,47.626342,-122.342333,POINT (-122.342333 47.626342),F190049625,179
3927 Adams Ln Ne,Aid Response,5/16/19 02:04,47.654702,-122.316797,POINT (-122.316797 47.654702),F190049626,180
Stewart St / Minor Av,Aid Response,5/9/19 06:49,47.61761,-122.331859,POINT (-122.331859 47.61761),F190046845,181
610 Harvard Av E,Alarm Bell,5/9/19 06:49,47.624349,-122.321989,POINT (-122.321989 47.624349),F190046846,182
222 5th Av N,Aid Response,5/2/19 20:26,47.619989,-122.347609,POINT (-122.347609 47.619989),F190044331,183
2407 S Dawson St,Aid Response,5/30/19 17:46,47.556158,-122.301586,POINT (-122.301586 47.556158),F190056185,184
8th Av / Seneca St,Medic Response,5/30/19 17:48,47.609372,-122.329777,POINT (-122.329777 47.609372),F190056186,185
37th Av S / S Charlestown St,Medic Response,5/30/19 17:48,47.569765,-122.286097,POINT (-122.286097 47.569765),F190056187,186
1431 Minor Av,Aid Response,5/2/19 14:39,47.613247,-122.327187,POINT (-122.327187 47.613247),F190044200,187
Aloha St / Taylor Av N,Aid Response,5/16/19 01:35,47.627155,-122.346245,POINT (-122.346245 47.627155),F190049622,188
115 Broadway E,Aid Response,5/16/19 02:31,47.618907,-122.320857,POINT (-122.320857 47.618907),F190049629,189
600 5th Av,Trans to AMR,5/16/19 02:41,47.603698,-122.329187,POINT (-122.329187 47.603698),F190049630,190
Minor Av / Stewart St,Medic Response,5/16/19 01:25,47.61761,-122.331859,POINT (-122.331859 47.61761),F190049618,191
8519 Fremont Av N,Medic Response,5/16/19 01:40,47.690783,-122.349915,POINT (-122.349915 47.690783),F190049623,192
4007 6th Av S,Medic Response,4/26/19 02:27,47.567981,-122.326755,POINT (-122.326755 47.567981),F190041641,193
2300 S Massachusetts St,Medic Response- 7 per Rule,6/30/19 17:06,47.588375,-122.302594,POINT (-122.302594 47.588375),F190068624,194
2nd Av Nw / Nw 65th St,MVI - Motor Vehicle Incident,6/30/19 17:12,47.675997,-122.359469,POINT (-122.359469 47.675997),F190068626,195
13201 Greenwood Av N,Investigate Out Of Service,6/30/19 17:12,47.72505,-122.355551,POINT (-122.355551 47.72505),F190068628,196
2nd Av Nw / Nw 65th St,MVI - Motor Vehicle Incident,6/30/19 17:12,47.675997,-122.359469,POINT (-122.359469 47.675997),F190068627,197
NB I5 CD AT MADISON,Aid Response Freeway,6/30/19 17:14,,,POINT (-122.326315 47.603525),F190068629,198
3314 16th Av S,Aid Response Yellow,4/26/19 02:16,47.573913,-122.312445,POINT (-122.312445 47.573913),F190041640,199
1600 E Olive St,Aid Response,6/20/19 12:20,47.616446,-122.311456,POINT (-122.311456 47.616446),F190064488,200
4001 East Stevens Way Ne,Auto Fire Alarm,6/20/19 12:22,47.656044,-122.304567,POINT (-122.304567 47.656044),F190064491,201
825 Eastlake Av E,Medic Response,6/6/19 08:17,47.626215,-122.329199,POINT (-122.329199 47.626215),F190058738,202
10041 39th Av Sw,Automatic Medical Alarm,5/16/19 02:15,47.513395,-122.381823,POINT (-122.381823 47.513395),F190049627,203
1135 NW LEARY WAY,Aid Response,4/26/19 02:31,47.663658,-122.371089,POINT (-122.371089 47.663658),F190041643,204
2119 3RD AV,Trans to AMR,4/26/19 02:34,47.613308,-122.342432,POINT (-122.342432 47.613308),F190041644,205
1619 3rd Av,Aid Response,6/20/19 13:06,47.610798,-122.338753,POINT (-122.338753 47.610798),F190064508,206
723 N 75th St,Aid Response,4/26/19 02:31,47.683299,-122.349474,POINT (-122.349474 47.683299),F190041642,207
5215 46th Av S,Medic Response,6/20/19 12:29,47.555097,-122.27537,POINT (-122.27537 47.555097),F190064492,208
1427 3rd Av,Aid Response,5/2/19 15:01,47.60902,-122.337126,POINT (-122.337126 47.60902),F190044205,209
11501 15th Av Ne,Aid Response,6/30/19 17:31,47.712167,-122.312433,POINT (-122.312433 47.712167),F190068638,210
8th Av S / S Walker St,Aid Response,6/30/19 17:32,47.583976,-122.323494,POINT (-122.323494 47.583976),F190068639,211
3527 Chelan Av Sw,Aid Response,6/30/19 17:38,47.571829,-122.360948,POINT (-122.360948 47.571829),F190068640,212
1600 43rd Av E,Aid Response,6/6/19 08:39,47.633347,-122.277159,POINT (-122.277159 47.633347),F190058743,213
8019 14th Av Nw,Aid Response,6/6/19 08:40,47.687003,-122.374096,POINT (-122.374096 47.687003),F190058744,214
6529 Ne Windermere Rd,Medic Response,6/6/19 09:00,47.670514,-122.257395,POINT (-122.257395 47.670514),F190058750,215
4634 S Chicago St,Aid Response Yellow,6/6/19 09:05,47.532628,-122.274857,POINT (-122.274857 47.532628),F190058752,216
121 Ne 53rd St,Aid Response,6/6/19 09:07,47.667177,-122.327706,POINT (-122.327706 47.667177),F190058753,217
3801 34th Av W,Automatic Medical Alarm,6/6/19 09:10,47.654056,-122.400899,POINT (-122.400899 47.654056),F190058756,218
8211 Aurora Av N,Aid Response,6/6/19 09:21,47.688463,-122.344511,POINT (-122.344511 47.688463),F190058758,219
1006 Spring St,Medic Response,5/9/19 06:05,47.609615,-122.326834,POINT (-122.326834 47.609615),F190046836,220
716 Boylston Av E,Rescue Elevator,5/9/19 06:07,47.625294,-122.32358,POINT (-122.32358 47.625294),F190046837,221
105 5th Av S,Aid Response,5/9/19 06:10,47.601643,-122.327656,POINT (-122.327656 47.601643),F190046838,222
206 Western Av W,Aid Response,5/30/19 12:48,47.620037,-122.359786,POINT (-122.359786 47.620037),F190056069,223
222 Pike St,Aid Response,5/30/19 12:48,47.609389,-122.338655,POINT (-122.338655 47.609389),F190056070,224
2030 3rd Av,Aid Response,5/30/19 12:49,47.612626,-122.341277,POINT (-122.341277 47.612626),F190056071,225
2720 Ne 144th St,Investigate Out Of Service,5/30/19 12:50,47.733066,-122.299052,POINT (-122.299052 47.733066),F190056072,226
